file_name,year,month,extension,sheet_name,start_row,end_row,skip_rows,usecols,column_names,grouped_by_zone,notes
PMS_JANUARY_2022.xlsx,2022,January,xlsx,0,2,38,,A:D,"State,Prices_of_last_year,Prices_of_last_month,Prices",no,
PMS_FEBRUARY_2022.xlsx,2022,February,xlsx,0,3,39,,A:D,"State,Prices_of_last_year,Prices_of_last_month,Prices",no,
PMS_MARCH_2022.xlsx,2022,March,xlsx,0,2,38,,A:D,"State,Prices_of_last_year,Prices_of_last_month,Prices",no,
PMS_APRIL_2022.xlsx,2022,April,xlsx,0,2,38,,A:D,"State,Prices_of_last_year,Prices_of_last_month,Prices",no,
PMS_MAY_2022.xlsx,2022,May,xlsx,0,3,39,,A:D,"State,Prices_of_last_year,Prices_of_last_month,Prices",no,
PMS_JUNE_2022.xlsx,2022,June,xlsx,0,2,38,,A:D,"State,Prices_of_last_year,Prices_of_last_month,Prices",no,
PMS_JULY_2022.xlsx,2022,July,xlsx,0,2,38,,A:D,"State,Prices_of_last_year,Prices_of_last_month,Prices",no,
PMS_AUGUST_2022.xlsx,2022,August,xlsx,0,3,44,"10,17,25,31,38",A:D,"State,Prices_of_last_year,Prices_of_last_month,Prices",Yes,Skip regional summaries and use only valid state rows.
PMS_SEPTEMBER_2022.xlsx,2022,September,xlsx,0,4,45,"11,18,26,32,39",A:D,"State,Prices_of_last_year,Prices_of_last_month,Prices",Yes,Skip regional summaries and use only valid state rows.
PMS_OCTOBER_2022.xlsx,2022,October,xlsx,0,3,44,"10,17,25,31,38",A:D,"State,Prices_of_last_year,Prices_of_last_month,Prices",Yes,Skip regional summaries and use only valid state rows.
PMS_NOVEMBER_2022.xlsx,2022,November,xlsx,0,3,44,"10,17,25,31,38",A:D,"State,Prices_of_last_year,Prices_of_last_month,Prices",Yes,Skip regional summaries and use only valid state rows.
PMS_DECEMBER_2022.xlsx,2022,December,xlsx,0,4,45,"11,18,26,32,39",A:D,"State,Prices,Prices_of_last_month,Prices_of_last_year",Yes,Skip regional summaries and use only valid state rows.
